Downloaded from wid.world on 21-10-2019 at 04:38:38
Percentile;Year;"sptinc_z_US
Pre-tax national income 
Top 1% | share
USA"
p99p100;1929;0.21160001
p99p100;1930;0.18089999
p99p100;1931;0.1503
p99p100;1932;0.1391
p99p100;1933;0.1516
p99p100;1934;0.1715
p99p100;1935;0.1736
p99p100;1936;0.19239999
p99p100;1937;0.1904
p99p100;1938;0.1719
p99p100;1939;0.1848
p99p100;1940;0.19310001
p99p100;1941;0.19490001
p99p100;1942;0.1849
p99p100;1943;0.1718
p99p100;1944;0.14839999
p99p100;1945;0.1428
p99p100;1946;0.1416
p99p100;1947;0.14569999
p99p100;1948;0.1577
p99p100;1949;0.1517
p99p100;1950;0.1585
p99p100;1951;0.1494
p99p100;1952;0.142
p99p100;1953;0.13259999
p99p100;1954;0.1349
p99p100;1955;0.14129999
p99p100;1956;0.1339
p99p100;1957;0.13169999
p99p100;1958;0.1247
p99p100;1959;0.13070001
p99p100;1960;0.1259
p99p100;1961;0.1245
p99p100;1962;0.1257
p99p100;1963;
p99p100;1964;0.1292
p99p100;1965;
p99p100;1966;0.12639999
p99p100;1967;0.1214
p99p100;1968;0.1242
p99p100;1969;0.1151
p99p100;1970;0.1079
p99p100;1971;0.1108
p99p100;1972;0.1112
p99p100;1973;0.1102
p99p100;1974;0.1055
p99p100;1975;0.1058
p99p100;1976;0.1041
p99p100;1977;0.1075
p99p100;1978;0.1063
p99p100;1979;0.1115
p99p100;1980;0.1067
p99p100;1981;0.1105
p99p100;1982;0.1126
p99p100;1983;0.1151
p99p100;1984;0.125
p99p100;1985;0.12549999
p99p100;1986;0.1221
p99p100;1987;0.1331
p99p100;1988;0.1488
p99p100;1989;0.1446
p99p100;1990;0.1454
p99p100;1991;0.1389
p99p100;1992;0.15009999
p99p100;1993;0.1464
p99p100;1994;0.1469
p99p100;1995;0.15279999
p99p100;1996;0.15970001
p99p100;1997;0.1663
p99p100;1998;0.1692
p99p100;1999;0.1771
p99p100;2000;0.18269999
p99p100;2001;0.1727
p99p100;2002;0.1706
p99p100;2003;0.17200001
p99p100;2004;0.1832
p99p100;2005;0.1937
p99p100;2006;0.20100001
p99p100;2007;0.1987
p99p100;2008;0.1952
p99p100;2009;0.18539999
p99p100;2010;0.198
p99p100;2011;0.19599999
p99p100;2012;0.2078
p99p100;2013;0.19589999
p99p100;2014;0.20200001
